# 大岩の英文法 完全版問題集（各文法50問 × 16文法 = 800問）

# be動詞（50問）
このプロジェクトは予定通りです,The project is on schedule,be動詞
現在の主な課題はコストです,The main issue is cost,be動詞
この計画はまだ初期段階です,The plan is still in the early stage,be動詞
私の担当はこの部分です,My role is this part,be動詞
この結果は予想通りです,The result is as expected,be動詞
このアイデアはとても現実的です,This idea is very practical,be動詞
今の優先事項は品質です,Our priority is quality now,be動詞
この方法はシンプルで効果的です,This method is simple and effective,be動詞
次のステップは最終確認です,The next step is the final check,be動詞
この問題は小さなリスクです,This issue is a small risk,be動詞
彼女は優秀なエンジニアです,She is an excellent engineer,be動詞
これは重要な決定です,This is an important decision,be動詞
彼らは同じチームです,They are on the same team,be動詞
私は営業部門の責任者です,I am the head of sales,be動詞
この会議は非常に生産的です,This meeting is very productive,be動詞
彼は経験豊富なマネージャーです,He is an experienced manager,be動詞
それは良い質問です,That is a good question,be動詞
私たちは準備ができています,We are ready,be動詞
この資料は明確です,This document is clear,be動詞
彼女は会議に出席中です,She is in the meeting,be動詞
その提案は興味深いです,The proposal is interesting,be動詞
これは新しいアプローチです,This is a new approach,be動詞
私は賛成です,I am in favor,be動詞
その情報は正確です,The information is accurate,be動詞
彼らは協力的です,They are cooperative,be動詞
この状況は複雑です,This situation is complex,be動詞
私たちは時間通りです,We are on time,be動詞
その目標は達成可能です,The goal is achievable,be動詞
これは良い機会です,This is a good opportunity,be動詞
彼は信頼できる人です,He is a reliable person,be動詞
その変更は必要です,The change is necessary,be動詞
私たちは同意見です,We are in agreement,be動詞
この戦略は効果的です,This strategy is effective,be動詞
彼女は責任感が強いです,She is responsible,be動詞
その問題は深刻です,The problem is serious,be動詞
これは正しい方向です,This is the right direction,be動詞
私は確信しています,I am confident,be動詞
そのデータは有用です,The data is useful,be動詞
彼らは忙しいです,They are busy,be動詞
この締め切りは厳しいです,This deadline is tight,be動詞
私たちは進行中です,We are in progress,be動詞
その解決策は簡単です,The solution is simple,be動詞
これは標準的な手順です,This is the standard procedure,be動詞
彼は几帳面です,He is meticulous,be動詞
その要件は明確です,The requirements are clear,be動詞
私たちは慎重です,We are careful,be動詞
この契約は有効です,This contract is valid,be動詞
彼女は専門家です,She is an expert,be動詞
その成果は印象的です,The results are impressive,be動詞
これは最終版です,This is the final version,be動詞

# 一般動詞（50問）
私は毎日レポートを書きます,I write reports every day,一般動詞
彼女はクライアントと話します,She talks with clients,一般動詞
私たちはチームで働きます,We work as a team,一般動詞
彼はデータを分析します,He analyzes data,一般動詞
私は毎朝メールをチェックします,I check emails every morning,一般動詞
彼らは問題を解決します,They solve problems,一般動詞
彼女はプレゼンを準備します,She prepares presentations,一般動詞
私たちは目標を設定します,We set goals,一般動詞
彼は意見を共有します,He shares opinions,一般動詞
私は計画を立てます,I make plans,一般動詞
彼女は顧客をサポートします,She supports customers,一般動詞
私たちは進捗を確認します,We check progress,一般動詞
彼はミーティングを主催します,He hosts meetings,一般動詞
私は資料を作成します,I create documents,一般動詞
彼らは協力します,They cooperate,一般動詞
彼女は提案を提出します,She submits proposals,一般動詞
私たちは品質を管理します,We manage quality,一般動詞
彼は予算を計算します,He calculates budgets,一般動詞
私は締め切りを守ります,I meet deadlines,一般動詞
彼女はアイデアを提案します,She suggests ideas,一般動詞
私たちは変更を実装します,We implement changes,一般動詞
彼は結果を報告します,He reports results,一般動詞
私はタスクを完了します,I complete tasks,一般動詞
彼らは戦略を開発します,They develop strategies,一般動詞
彼女は会議を調整します,She coordinates meetings,一般動詞
私たちは改善を続けます,We continue improving,一般動詞
彼は承認を得ます,He gets approval,一般動詞
私はフィードバックを提供します,I provide feedback,一般動詞
彼女は指示に従います,She follows instructions,一般動詞
私たちは効率を向上させます,We improve efficiency,一般動詞
彼は問い合わせに対応します,He handles inquiries,一般動詞
私は優先順位をつけます,I prioritize tasks,一般動詞
彼らは知識を共有します,They share knowledge,一般動詞
彼女は契約を交渉します,She negotiates contracts,一般動詞
私たちはリスクを評価します,We assess risks,一般動詞
彼は要件を理解します,He understands requirements,一般動詞
私は記録を保管します,I keep records,一般動詞
彼女は変化に適応します,She adapts to changes,一般動詞
私たちは基準を満たします,We meet standards,一般動詞
彼は期待を超えます,He exceeds expectations,一般動詞
私は情報を収集します,I gather information,一般動詞
彼らは決定を下します,They make decisions,一般動詞
彼女はプロセスを最適化します,She optimizes processes,一般動詞
私たちは目的を達成します,We achieve objectives,一般動詞
彼は問題を特定します,He identifies problems,一般動詞
私は手順を説明します,I explain procedures,一般動詞
彼女は成果を測定します,She measures results,一般動詞
私たちは価値を提供します,We deliver value,一般動詞
彼は責任を負います,He takes responsibility,一般動詞
私は詳細に注目します,I focus on details,一般動詞

# 過去形（50問）
私は昨日レポートを完成させました,I finished the report yesterday,過去形
彼女はクライアントに連絡しました,She contacted the client,過去形
私たちは先週会議を開きました,We held a meeting last week,過去形
彼はプロジェクトを開始しました,He started the project,過去形
私は朝メールを送りました,I sent emails this morning,過去形
彼らは問題を解決しました,They solved the problem,過去形
彼女は提案を提出しました,She submitted the proposal,過去形
私たちは目標を達成しました,We achieved the goal,過去形
彼は決定を下しました,He made a decision,過去形
私は資料を作成しました,I created the document,過去形
彼女は顧客をサポートしました,She supported the customer,過去形
私たちは進捗を確認しました,We checked the progress,過去形
彼はミーティングを主催しました,He hosted the meeting,過去形
私は計画を立てました,I made a plan,過去形
彼らは協力しました,They cooperated,過去形
彼女はアイデアを提案しました,She suggested an idea,過去形
私たちは変更を実装しました,We implemented the change,過去形
彼は結果を報告しました,He reported the results,過去形
私はタスクを完了しました,I completed the task,過去形
彼女は会議を調整しました,She coordinated the meeting,過去形
私たちは品質を改善しました,We improved the quality,過去形
彼は承認を得ました,He got approval,過去形
私はフィードバックを提供しました,I provided feedback,過去形
彼らは戦略を開発しました,They developed a strategy,過去形
彼女は指示に従いました,She followed the instructions,過去形
私たちは締め切りを守りました,We met the deadline,過去形
彼は問い合わせに対応しました,He handled the inquiry,過去形
私は優先順位をつけました,I prioritized the tasks,過去形
彼女は契約を交渉しました,She negotiated the contract,過去形
私たちはリスクを評価しました,We assessed the risks,過去形
彼は要件を理解しました,He understood the requirements,過去形
私は記録を保管しました,I kept the records,過去形
彼らは知識を共有しました,They shared knowledge,過去形
彼女は変化に適応しました,She adapted to the changes,過去形
私たちは基準を満たしました,We met the standards,過去形
彼は期待を超えました,He exceeded expectations,過去形
私は情報を収集しました,I gathered information,過去形
彼女はプロセスを最適化しました,She optimized the process,過去形
私たちは目的を達成しました,We achieved the objective,過去形
彼は問題を特定しました,He identified the problem,過去形
私は手順を説明しました,I explained the procedure,過去形
彼らは決定を下しました,They made a decision,過去形
彼女は成果を測定しました,She measured the results,過去形
私たちは価値を提供しました,We delivered value,過去形
彼は責任を負いました,He took responsibility,過去形
私は詳細に注目しました,I focused on details,過去形
彼女はチームをリードしました,She led the team,過去形
私たちは計画を実行しました,We executed the plan,過去形
彼はデータを分析しました,He analyzed the data,過去形
私は承認を求めました,I requested approval,過去形

# 未来形（50問）
私は明日レポートを送ります,I will send the report tomorrow,未来形
彼女は来週クライアントに会います,She will meet the client next week,未来形
私たちは午後会議を開きます,We will hold a meeting this afternoon,未来形
彼はプロジェクトを開始します,He will start the project,未来形
私は後でメールをチェックします,I will check emails later,未来形
彼らは問題を解決します,They will solve the problem,未来形
